Variables
$CFG->libdir
$CFG->theme_snap_max_pm_completion_time_courses
$CFG->additionalhtmlfooter
$CFG->theme_snap_disable_deadline_mods
$CFG->defaulthomepage
$CFG->coursecontact
$CFG->maxbytes
$CFG->core_outcome_enable
$CFG->grade_decimalpoints
$CFG->custommenuitems
$CFG->frontpage
$CFG->theme_snap_max_pm_completion_courses
$CFG->dirroot
$CFG->theme_snap_bar_limit
$CFG->allowcoursethemes
$CFG->theme_snap_max_concurrent_deadline_queries
$CFG->snap_advanced_feeds_max_deadlines
$CFG->theme_snap_disable_my_courses
$CFG->allowstealth
$CFG->core_calendar_use_subquery_union_event_strategy
$CFG->snappageinit
$CFG->lang
$CFG->enabledevicedetection
$CFG->theme
$CFG->local_pld_experimental
$CFG->theme_snap_flag_name
$CFG->allowuserthemes
$CFG->badges_allowcoursebadges
$CFG->theme_snap_include_cm_checks_in_deadlines_task
$CFG->coursesperpage
$CFG->allowcategorythemes
$CFG->navshowallcourses
$CFG->enableavailability
$CFG->admin
$CFG->themeorder
$CFG->theme_snap_refresh_deadlines_max_duration
$CFG->calendar_adminseesall
$CFG->messaging
$CFG->httpswwwroot
$CFG->grade_report_overview_showtotalsifcontainhidden
$CFG->guestroleid
$CFG->wwwroot
$CFG->gradebookroles
$CFG->theme_snap_refresh_deadlines_last_login
$CFG->block_reports_enable_dashboardce
$CFG->frontpageloggedin
$CFG->loginhttps
$CFG->enablecompletion
$CFG->enablecourserequests
$CFG->snapwrapdebug
$CFG->enabledashboard
$CFG->theme_snap_prepopulate_advanced_feeds
$CFG->enablebadges
$CFG->defaultrequestcategory
$CFG->mnet_localhost_id
